,de_price,fr_price,flow_fr_to_de,flow_de_to_fr,fr_nuclear,fr_solar_forecast,fr_wind_forecast,fr_load,de_load,de_wind,de_solar,temp_paris,temp_berlin,ttf_close,ttf_change
2022-01-07 13:00:00+00:00,169.43,207.05,428.029,0.0,47957.0,2764.65,7576.5,73750.0,69191.80249999999,28570.045000000002,2251.89,7.4,2.5,88.17400360107422,-8.327995300292983
2022-01-07 14:00:00+00:00,189.7,210.11,391.8095,0.0575,46846.0,1992.43,7392.59,71350.0,68553.67,27584.1575,932.115,7.1,2.2,88.17400360107422,-8.327995300292983
2022-01-07 15:00:00+00:00,201.97,220.21,443.6455,0.0875,46877.0,847.67,7209.28,69700.0,69166.5675,26883.260000000002,99.085,6.9,2.0,88.17400360107422,-8.327995300292983
2022-01-07 16:00:00+00:00,243.11,243.84,246.003,192.365,46844.0,54.59,7284.53,71450.0,70881.32250000001,26477.3725,0.0,6.3,1.5,88.17400360107422,-8.327995300292983
2022-01-07 17:00:00+00:00,253.81,260.0,0.0,1014.199,45878.0,0.0,7359.3,75500.0,70440.14,25977.5575,0.0,5.7,1.5,88.17400360107422,-8.327995300292983
2022-01-07 18:00:00+00:00,237.05,250.0,0.0,1731.5475,45590.0,0.0,7433.53,76300.0,68624.2025,25266.1725,0.0,5.3,1.5,88.17400360107422,-8.327995300292983
2022-01-07 19:00:00+00:00,224.33,239.09,0.0,1642.7665,45548.0,0.0,7442.77,73050.0,65823.6375,24321.36,0.0,5.6,1.4,88.17400360107422,-8.327995300292983
2022-01-07 20:00:00+00:00,213.81,213.81,0.0,1212.048,45502.0,0.0,7452.75,68900.0,63133.8425,23212.655,0.0,5.4,0.9,88.17400360107422,-8.327995300292983
2022-01-07 21:00:00+00:00,185.94,216.13,0.0,832.1875,45386.0,0.0,7462.39,67250.0,61312.395000000004,21779.03,0.0,6.2,0.9,88.17400360107422,-8.327995300292983
2022-01-07 22:00:00+00:00,148.32,205.74,0.0,1266.1805,45301.0,0.0,7392.17,70100.0,58099.2075,20464.2275,0.0,5.4,1.0,88.17400360107422,-8.327995300292983
2022-01-07 23:00:00+00:00,164.17,184.96,0.0,1029.82,45243.0,0.0,8312.37,67100.0,51505.744999999995,15861.85,0.0,4.4,0.3,88.17400360107422,-8.327995300292983
2022-01-08 00:00:00+00:00,152.83,162.79,0.0,1143.317,44896.0,0.0,7973.46,64100.0,49487.97,15151.3125,0.0,4.1,0.6,88.17400360107422,-8.327995300292983
2022-01-08 01:00:00+00:00,166.0,166.0,0.0,1742.5635,44946.0,0.0,7424.36,62850.0,48430.16,14864.7325,0.0,3.0,0.6,88.17400360107422,-8.327995300292983
2022-01-08 02:00:00+00:00,160.86,161.63,0.0,1792.1895,44977.0,0.0,6877.35,59650.0,48114.215,14901.564999999999,0.0,2.5,0.9,88.17400360107422,-8.327995300292983
